Raw Material,Quantity,Category,Cost (per unit),ShelfLife (days),ExpiryDate
Onions,100,Vegetables,0.88,12,2025-01-30
Cheese (kg),13,Dairy,7.34,14,2025-02-08
Onions,36,Vegetables,0.64,7,2025-01-31
Rice (kg),35,Grains,1.1,707,2025-05-24
Eggs (dozen),32,Dairy,2.7,25,2025-02-20
Beef (kg),26,Meat,7.51,5,2025-01-27
Fish (kg),25,Seafood,11.82,1,2025-01-27
Butter (kg),44,Dairy,5.65,42,2025-02-21
Garlic (kg),30,Vegetables,2.11,52,2025-03-08
Tomatoes,18,Vegetables,1.29,6,2025-02-01
Eggs (dozen),20,Dairy,3.19,21,2025-02-07
Milk (ltr),59,Dairy,0.96,5,2025-01-31
Cheese (kg),48,Dairy,5.04,20,2025-02-11
Chicken (kg),60,Poultry,4.94,5,2025-01-28
Potatoes,27,Vegetables,0.77,22,2025-02-15
Fish (kg),73,Seafood,10.87,2,2025-01-28
Sugar (kg),98,Pantry,1.56,1390,2026-06-13
Sugar (kg),16,Pantry,1.37,1653,2026-06-10
Fish (kg),64,Seafood,9.85,2,2025-01-28
Onions,68,Vegetables,1.1,9,2025-02-03
Tomatoes,50,Vegetables,1.36,6,2025-01-29
Butter (kg),81,Dairy,5.9,38,2025-03-03
Onions,71,Vegetables,1.16,8,2025-01-30
Garlic (kg),57,Vegetables,2.73,54,2025-02-11
Garlic (kg),65,Vegetables,2.97,45,2025-02-24
Fish (kg),7,Seafood,7.47,1,2025-01-27
Garlic (kg),36,Vegetables,2.46,48,2025-02-19
Flour (kg),75,Grains,1.01,288,2025-11-04
Beef (kg),50,Meat,7.76,4,2025-01-29
Cooking Oil (ltr),34,Pantry,2.68,229,2025-04-17
Chicken (kg),100,Poultry,4.3,3,2025-01-27
Tomatoes,99,Vegetables,1.14,7,2025-01-31
Fish (kg),72,Seafood,9.98,1,2025-01-27
Cooking Oil (ltr),34,Pantry,3.04,257,2025-02-03
Garlic (kg),73,Vegetables,2.19,31,2025-01-28
Milk (ltr),42,Dairy,0.98,5,2025-01-30
Chicken (kg),6,Poultry,4.36,5,2025-01-30
Flour (kg),48,Grains,0.87,193,2025-04-01
Sugar (kg),66,Pantry,1.27,863,2026-03-13
Flour (kg),14,Grains,1.03,355,2025-02-23
Rice (kg),24,Grains,1.65,520,2025-04-24
Tomatoes,20,Vegetables,1.19,6,2025-01-31
Eggs (dozen),84,Dairy,2.34,27,2025-02-10
Butter (kg),61,Dairy,5.09,43,2025-02-15
Eggs (dozen),84,Dairy,2.09,22,2025-02-02
Cheese (kg),32,Dairy,5.79,15,2025-01-29
Tomatoes,27,Vegetables,1.19,5,2025-01-27
Potatoes,62,Vegetables,0.74,29,2025-02-05
Onions,34,Vegetables,0.7,11,2025-02-03
Chicken (kg),92,Poultry,3.85,4,2025-01-28
Potatoes,19,Vegetables,0.67,18,2025-02-04
Sugar (kg),23,Pantry,1.24,1069,2026-10-18
Eggs (dozen),100,Dairy,3.24,25,2025-02-10
Chicken (kg),64,Poultry,4.53,5,2025-01-29
Milk (ltr),74,Dairy,0.9,5,2025-01-31
Onions,60,Vegetables,1.01,11,2025-01-27
Chicken (kg),34,Poultry,4.94,2,2025-01-28
Eggs (dozen),10,Dairy,3.14,23,2025-02-11
Milk (ltr),88,Dairy,0.88,6,2025-01-28
Eggs (dozen),60,Dairy,2.95,28,2025-01-29
Flour (kg),49,Grains,0.96,262,2025-03-21
Sugar (kg),25,Pantry,1.4,1744,2026-09-09
Cheese (kg),56,Dairy,7.44,14,2025-02-03
